"","overall","age","wage_eur","international_reputation","is_sub","Top_Club","value_eur","height_cm","weight_kg","release_clause_eur"
"159",68,29,7000,1,1,"other",750000,197,92,1200000
"160",65,27,5000,1,0,"other",575000,181,68,834000
"161",66,23,2000,1,1,"other",875000,177,63,1600000
"162",68,30,2000,1,0,"other",875000,172,60,1400000
"163",74,31,20000,1,0,"other",4200000,188,83,8400000
"164",53,18,1000,1,1,"other",110000,188,78,217000
"165",58,20,1000,1,1,"other",190000,183,72,371000
"166",64,26,2000,1,0,"other",525000,184,75,0
"167",77,30,71000,3,1,"other",8500000,176,68,16200000
"168",66,26,3000,1,1,"other",675000,177,73,996000
"169",62,20,3000,1,1,"other",525000,172,70,840000
"170",67,25,2000,1,1,"other",850000,180,65,1100000
"171",63,17,1000,1,1,"other",725000,173,58,1500000
"172",67,28,2000,1,0,"other",675000,188,89,979000
"173",66,20,5000,1,1,"other",1200000,181,71,2e+06
"174",74,23,43000,1,0,"other",8e+06,197,80,16800000
"175",66,21,7000,1,1,"other",850000,183,84,1700000
"176",69,24,4000,1,1,"other",1300000,177,74,2e+06
"177",69,29,7000,1,1,"other",875000,189,83,1300000
"178",71,30,12000,2,1,"Top_30",2200000,185,82,3100000
"179",60,26,2000,1,1,"other",240000,177,76,366000
"180",77,25,33000,2,1,"other",1.1e+07,170,62,19500000
"181",68,22,5000,1,0,"other",1200000,193,83,0
"182",56,20,1000,1,1,"other",140000,180,74,203000
"183",77,25,30000,1,1,"other",1.1e+07,175,75,20600000
"184",71,27,11000,1,0,"other",2100000,183,81,4200000
"185",64,27,2000,1,1,"other",450000,173,69,619000
"186",65,29,2000,1,0,"other",450000,179,80,653000
"187",75,23,39000,1,0,"other",7500000,180,76,13300000
"188",70,27,7000,1,0,"other",2100000,180,80,3500000
"189",55,22,1000,1,1,"other",110000,180,70,171000
"190",67,30,4000,1,1,"other",7e+05,182,78,945000
"191",62,23,3000,1,1,"other",425000,174,67,723000
"192",59,26,1000,1,1,"other",170000,180,78,242000
"193",64,24,3000,1,0,"other",6e+05,183,73,990000
"194",64,25,1000,1,1,"other",525000,181,79,879000
"195",64,17,4000,1,1,"Top_20",1e+06,175,72,2900000
"196",70,32,5000,2,1,"other",1100000,188,78,1700000
"197",54,20,1000,1,1,"other",110000,174,69,0
"198",59,19,1000,1,1,"other",325000,174,68,756000
"199",68,32,3000,1,0,"other",575000,180,70,1e+06
"200",51,21,2000,1,1,"other",60000,183,77,105000
"201",64,18,1000,1,0,"other",925000,175,66,1700000
"202",66,27,2000,1,1,"other",675000,193,87,894000
"203",67,25,8000,1,0,"other",950000,167,61,2e+06
"204",73,25,14000,1,1,"other",4800000,185,77,0
"205",63,20,7000,1,1,"other",650000,185,65,1400000
"206",63,23,9000,1,1,"other",5e+05,191,74,1100000
"207",56,21,1000,1,1,"other",120000,177,72,186000
"208",83,28,77000,2,0,"Top_30",25500000,178,67,43400000
"209",59,22,1000,1,1,"other",180000,185,73,329000
"210",63,25,6000,1,1,"other",450000,186,86,799000
"211",72,24,13000,1,1,"other",3700000,184,71,8100000
"212",61,30,0,1,0,"other",0,184,78,0
"213",68,30,4000,1,0,"other",725000,183,78,1200000
"214",64,24,2000,1,1,"other",625000,178,75,1100000
"215",70,25,1000,1,0,"other",2200000,168,62,5e+06
"216",63,19,3000,1,1,"other",775000,185,80,1800000
"217",74,27,27000,2,0,"other",6500000,172,70,12800000
"218",59,17,1000,1,1,"other",3e+05,177,70,788000
"219",57,29,2000,1,1,"other",90000,180,74,140000
"220",62,22,1000,1,1,"other",425000,175,70,701000
"221",72,32,17000,2,0,"other",2400000,182,82,4200000
"222",65,24,1000,1,0,"other",7e+05,196,91,1100000
"223",57,24,1000,1,1,"other",120000,188,85,201000
"224",71,28,18000,1,0,"other",2400000,191,84,4100000
"225",61,25,1000,1,0,"other",325000,176,68,463000
"226",64,28,2000,1,1,"other",450000,171,58,788000
"227",67,27,4000,1,1,"other",775000,179,64,1400000
"228",63,27,7000,1,1,"other",4e+05,172,73,680000
"229",73,30,15000,1,0,"other",3800000,188,84,5500000
"230",71,23,17000,1,1,"Top_30",2800000,191,82,4400000
"231",78,25,25000,2,0,"other",1.3e+07,176,69,28300000
"232",65,28,1000,1,0,"other",525000,187,84,748000
"233",61,22,3000,1,1,"other",350000,168,64,578000
"234",69,24,15000,1,0,"other",1400000,167,67,2500000
"235",64,19,1000,1,1,"other",975000,179,68,2800000
"236",72,33,13000,1,0,"other",1500000,185,80,2400000
"237",72,23,20000,1,1,"other",4400000,183,70,10600000
"238",64,29,1000,1,1,"other",425000,184,80,563000
"239",63,22,2000,1,1,"other",575000,179,70,1e+06
"240",66,30,3000,1,0,"other",5e+05,182,80,725000
"241",71,33,12000,1,1,"other",1400000,176,68,2100000
"242",57,18,1000,1,1,"other",210000,173,64,499000
"243",65,31,2000,1,1,"other",4e+05,183,86,6e+05
"244",58,20,2000,1,1,"other",260000,180,74,631000
"245",59,31,3000,1,1,"other",140000,181,74,217000
"246",57,19,1000,1,1,"other",150000,182,68,240000
"247",80,29,31000,1,1,"other",14500000,177,72,30500000
"248",58,23,1000,1,1,"other",170000,171,71,298000
"249",68,22,16000,1,1,"other",1400000,183,75,2700000
"250",76,20,10000,1,1,"Top_20",1.2e+07,181,71,26400000
"251",74,26,27000,1,1,"other",6500000,185,78,12800000
"252",74,28,1000,1,1,"Top_20",4800000,182,72,10100000
"253",63,19,5000,1,1,"other",8e+05,170,66,2200000
"254",64,19,3000,1,1,"other",775000,166,66,1300000
"255",58,21,1000,1,1,"other",2e+05,183,69,310000
"256",67,29,2000,1,0,"other",650000,180,74,813000
"257",63,25,2000,1,0,"other",425000,183,73,563000
"258",66,33,6000,1,0,"other",375000,188,79,656000
"259",63,25,1000,1,1,"other",450000,197,84,596000
"260",61,30,3000,1,1,"other",240000,175,65,372000
"261",77,30,34000,1,0,"other",8500000,187,80,14500000
"262",70,33,2000,1,0,"other",850000,188,87,1200000
"263",69,26,5000,1,1,"other",1200000,175,72,1800000
"264",68,27,4000,1,0,"other",975000,180,73,1800000
"265",76,31,32000,2,0,"other",7e+06,183,73,15400000
"266",83,32,105000,4,0,"Top_20",16500000,189,86,31400000
"267",67,30,3000,1,0,"other",625000,185,82,844000
"268",80,27,81000,1,0,"other",17500000,180,66,34600000
"269",70,27,9000,1,1,"other",2100000,184,80,3900000
"270",64,35,2000,1,1,"other",130000,175,69,169000
"271",76,30,44000,1,0,"other",7e+06,185,78,13300000
"272",55,20,1000,1,1,"other",140000,178,70,231000
"273",58,21,1000,1,1,"other",170000,187,81,247000
"274",59,25,3000,1,1,"other",190000,181,67,318000
"275",70,29,8000,1,0,"other",1700000,185,74,2900000
"276",65,29,2000,1,1,"other",525000,177,74,656000
"277",79,28,80000,1,0,"other",12500000,195,97,24700000
"278",65,20,3000,1,1,"other",1200000,178,64,2800000
"279",65,27,1000,1,0,"other",575000,199,99,819000
"280",57,19,2000,1,1,"other",220000,178,73,512000
"281",71,24,5000,1,0,"other",3200000,173,70,5e+06
"282",65,26,1000,1,1,"other",6e+05,184,78,975000
"283",71,28,9000,1,0,"other",2400000,176,73,3400000
"284",57,19,2000,1,1,"other",160000,183,70,312000
"285",72,28,1000,1,0,"other",2700000,182,81,5900000
"286",63,20,2000,1,1,"other",6e+05,182,74,1100000
"287",72,24,8000,1,0,"other",4100000,176,71,6400000
"288",68,31,2000,1,0,"other",650000,180,76,813000
"289",70,26,7000,1,0,"other",2100000,167,68,3600000
"290",66,26,2000,1,0,"other",775000,185,80,1400000
"291",82,31,39000,2,0,"other",2e+07,180,70,4.2e+07
"292",70,21,4000,1,0,"other",3e+06,191,81,0
"293",50,19,1000,1,1,"other",60000,184,80,119000
"294",68,28,9000,1,1,"other",9e+05,181,78,0
"295",68,26,7000,1,0,"other",1100000,186,75,1800000
"296",72,26,36000,2,1,"Top_30",3400000,192,79,6800000
"297",74,31,17000,1,0,"other",5e+06,194,93,8e+06
"298",79,33,53000,2,1,"other",7500000,183,78,12800000
"299",75,27,33000,1,0,"other",7e+06,176,72,13300000
"300",56,19,1000,1,1,"other",190000,180,71,394000
"301",66,26,3000,1,1,"other",8e+05,185,77,1500000
"302",56,21,1000,1,0,"other",140000,183,77,273000
"303",64,21,2000,1,1,"other",7e+05,180,71,1600000
"304",79,22,16000,1,0,"Top_30",1.7e+07,176,68,35300000
"305",60,19,1000,1,1,"other",425000,185,78,1e+06
"306",52,18,1000,1,1,"other",1e+05,185,71,275000
"307",65,23,9000,1,1,"other",825000,190,75,1700000
"308",59,22,2000,1,1,"other",230000,178,64,449000
"309",59,21,1000,1,1,"other",240000,170,68,468000
"310",72,27,11000,1,0,"other",3300000,182,71,6300000
"311",68,35,2000,1,0,"other",375000,168,72,506000
"312",72,28,27000,1,0,"other",3100000,182,75,5400000
"313",69,27,4000,1,0,"other",1100000,175,73,1500000
"314",54,20,1000,1,1,"other",150000,175,80,356000
"315",68,28,3000,1,1,"other",775000,185,79,1200000
"316",67,20,5000,1,1,"other",1600000,179,78,3200000
"317",68,31,3000,1,0,"other",675000,174,78,911000
"318",72,22,28000,1,0,"other",5e+06,174,72,1e+07
"319",65,26,2000,1,0,"other",550000,178,71,1e+06
"320",60,19,1000,1,1,"other",4e+05,185,74,830000
"321",68,35,2000,1,0,"other",270000,186,85,473000
"322",74,30,21000,1,0,"Top_30",4600000,183,80,7e+06
"323",74,31,35000,1,1,"other",4200000,193,87,8400000
"324",69,30,5000,1,1,"other",825000,181,80,1200000
"325",64,27,1000,1,0,"other",4e+05,172,70,5e+05
"326",67,31,2000,1,0,"other",575000,189,83,834000
"327",50,19,1000,1,1,"other",60000,163,60,119000
"328",54,20,5000,1,1,"other",140000,175,65,354000
"329",69,26,7000,1,1,"other",1200000,184,80,1900000
"330",71,28,6000,1,0,"other",2400000,181,78,4900000
"331",52,17,1000,1,1,"other",1e+05,178,72,238000
"332",61,23,4000,1,1,"other",325000,172,69,601000
"333",65,23,2000,1,1,"other",7e+05,185,75,1500000
"334",65,23,1000,1,1,"other",725000,170,69,1100000
"335",51,18,1000,1,1,"other",80000,177,69,190000
"336",64,30,2000,1,1,"other",350000,186,80,508000
"337",67,35,1000,1,0,"other",230000,173,76,311000
"338",75,34,9000,3,1,"other",3400000,182,83,4400000
"339",57,20,2000,1,1,"other",230000,192,78,0
"340",55,25,3000,1,1,"other",110000,183,83,184000
"341",67,29,2000,1,1,"other",750000,185,75,1200000
"342",55,17,1000,1,1,"other",160000,183,71,512000
"343",65,21,12000,1,1,"Top_20",975000,181,76,2e+06
"344",56,20,1000,1,0,"other",2e+05,177,74,435000
"345",66,22,3000,1,1,"other",1e+06,178,70,1800000
"346",66,27,2000,1,0,"other",650000,170,60,943000
"347",59,29,3000,1,1,"other",160000,193,88,248000
"348",77,26,26000,1,0,"other",9500000,175,73,16900000
"349",64,26,2000,1,0,"other",525000,176,64,958000
"350",49,17,1000,1,1,"other",50000,177,70,73000
"351",55,21,1000,1,1,"other",110000,185,78,160000
"352",63,19,6000,1,1,"Top_30",775000,180,75,2e+06
"353",63,18,4000,1,1,"other",775000,169,71,2e+06
"354",70,29,3000,1,0,"other",1700000,180,77,2700000
"355",69,28,3000,1,1,"other",1e+06,192,85,1400000
"356",65,24,2000,1,0,"other",7e+05,170,74,998000
"357",61,20,3000,1,1,"other",550000,172,65,1400000
"358",65,28,4000,1,1,"other",525000,185,80,801000
"359",71,24,7000,1,0,"other",2800000,180,70,0
"360",67,25,3000,1,0,"other",950000,175,75,1700000
"361",74,31,17000,1,0,"other",4300000,181,72,9400000
"362",61,18,1000,1,1,"other",525000,174,73,1100000
"363",76,21,32000,1,1,"Top_30",11500000,175,68,21900000
"364",64,21,1000,1,0,"other",7e+05,184,73,1100000
"365",55,18,1000,1,1,"other",180000,169,60,423000
"366",63,21,2000,1,1,"other",525000,190,75,945000
"367",68,22,8000,1,1,"other",1400000,179,74,2400000
"368",67,36,2000,2,0,"other",160000,178,73,2e+05
"369",60,22,2000,1,1,"other",325000,180,74,634000
"370",74,30,17000,1,0,"other",4600000,188,85,5900000
"371",59,19,1000,1,1,"other",220000,176,70,363000
"372",75,25,31000,2,1,"other",7500000,177,82,0
"373",60,25,2000,1,1,"other",250000,182,70,0
"374",71,25,11000,1,0,"other",2800000,177,68,5700000
"375",58,22,1000,1,1,"other",180000,188,80,261000
"376",69,26,3000,1,0,"other",1300000,180,69,1900000
"377",78,25,37000,1,0,"other",1.2e+07,188,89,23700000
"378",66,20,2000,1,1,"other",1100000,180,72,1900000
"379",76,27,44000,2,1,"other",7500000,172,67,14800000
"380",73,22,9000,1,1,"Top_30",5e+06,175,71,1.1e+07
"381",64,36,2000,1,0,"other",150000,180,75,188000
"382",50,22,1000,1,1,"other",50000,182,74,88000
"383",74,27,11000,1,0,"other",6e+06,183,82,8300000
"384",68,23,4000,1,1,"other",1300000,179,76,2300000
"385",60,27,0,1,0,"other",0,177,71,0
"386",57,23,1000,1,1,"other",160000,183,81,232000
"387",72,22,18000,1,0,"other",4200000,188,76,7900000
"388",57,19,1000,1,1,"other",180000,175,65,297000
"389",74,29,15000,1,1,"other",5500000,176,79,8300000
"390",68,27,3000,1,0,"other",950000,175,70,1300000
"391",53,18,3000,1,1,"other",130000,180,70,377000
"392",76,28,46000,1,0,"other",6500000,176,67,12400000
"393",68,30,2000,1,0,"other",850000,173,70,1100000
"394",67,30,3000,1,0,"other",725000,177,71,1300000
"395",53,21,1000,1,1,"other",1e+05,172,65,175000
"396",55,21,1000,1,1,"other",120000,180,70,276000
"397",65,19,7000,1,1,"Top_10",1200000,175,71,3100000
"398",64,21,7000,1,1,"other",725000,178,68,1500000
"399",70,36,2000,1,0,"other",350000,191,90,490000
"400",65,24,4000,1,0,"other",675000,178,71,1200000
"401",61,27,1000,1,1,"other",290000,177,70,413000
"402",60,21,1000,1,1,"other",3e+05,177,66,495000
"403",69,22,9000,1,1,"other",1400000,184,75,2200000
"404",69,32,13000,2,1,"other",825000,179,73,1700000
"405",62,18,1000,1,1,"other",625000,170,61,1500000
"406",70,22,16000,1,1,"Top_20",2600000,189,85,5e+06
"407",69,23,3000,1,0,"other",1300000,172,67,2200000
"408",59,24,2000,1,1,"other",220000,185,83,385000
"409",75,28,9000,1,0,"other",6500000,184,69,8500000
"410",62,30,1000,1,0,"other",250000,190,81,338000
"411",61,27,3000,1,1,"other",260000,175,69,390000
"412",70,27,11000,1,1,"other",2e+06,169,64,4200000
"413",57,29,1000,1,1,"other",90000,185,80,113000
"414",75,28,25000,2,0,"other",6500000,169,67,10700000
"415",72,26,15000,1,1,"other",3700000,180,82,8e+06
"416",65,25,3000,1,1,"other",7e+05,183,79,1100000
"417",68,26,7000,1,1,"other",1100000,174,66,1600000
"418",50,19,1000,1,1,"other",60000,185,80,113000
"419",65,21,3000,1,1,"other",725000,191,84,1300000
"420",66,23,3000,1,1,"other",875000,185,85,1700000
"421",72,27,10000,2,0,"other",3300000,178,69,4100000
"422",65,21,3000,1,1,"other",950000,189,83,1800000
"423",64,25,3000,1,0,"other",575000,190,85,762000
"424",67,25,2000,1,1,"other",975000,180,70,1300000
"425",60,19,1000,1,1,"other",450000,188,82,1200000
"426",71,28,5000,1,0,"other",2e+06,176,70,2500000
"427",69,20,6000,1,1,"Top_10",1700000,173,62,3900000
"428",55,18,1000,1,1,"other",140000,178,69,277000
"429",67,25,1000,1,1,"other",975000,184,85,1600000
"430",67,22,1000,1,1,"other",1200000,184,78,2900000
"431",54,18,1000,1,1,"other",140000,177,72,291000
"432",68,25,4000,1,1,"other",1100000,176,73,1700000
"433",64,26,4000,1,1,"other",550000,178,60,921000
"434",74,35,26000,2,0,"other",2600000,178,72,4400000
"435",69,25,3000,1,0,"other",1200000,180,74,1600000
"436",56,23,4000,1,1,"other",130000,182,67,241000
"437",64,28,1000,1,0,"other",450000,168,65,698000
"438",67,32,3000,1,1,"other",575000,172,65,949000
"439",60,25,3000,1,1,"other",260000,166,62,449000
"440",78,25,22000,1,1,"other",1.3e+07,190,79,29900000
"441",50,20,1000,1,1,"other",40000,188,82,70000
"442",67,22,8000,1,1,"other",1300000,174,72,3e+06
"443",63,23,1000,1,1,"other",475000,185,79,808000
"444",75,24,11000,1,0,"other",8e+06,184,80,0
"445",68,26,5000,1,1,"other",1100000,182,79,2300000
"446",53,18,1000,1,1,"other",110000,175,70,206000
"447",71,23,1000,1,0,"other",2800000,178,72,6400000
"448",54,17,1000,1,1,"other",150000,175,68,338000
"449",65,22,3000,1,1,"other",850000,179,82,1500000
"450",71,34,7000,1,0,"other",1200000,189,85,1600000
"451",64,22,1000,1,1,"Top_20",750000,174,70,1700000
"452",66,22,5000,1,1,"other",950000,185,70,1700000
"453",57,21,4000,1,1,"other",230000,165,60,523000
"454",62,24,1000,1,0,"other",375000,183,75,656000
"455",59,20,1000,1,1,"other",250000,180,75,388000
"456",64,28,3000,1,1,"other",475000,178,73,831000
"457",69,26,5000,1,0,"other",1100000,183,79,2400000
"458",76,29,63000,2,0,"other",6500000,175,66,12400000
"459",56,19,1000,1,1,"other",180000,189,77,374000
"460",62,27,1000,1,0,"other",270000,180,70,365000
"461",74,38,4000,2,0,"other",1100000,184,82,2400000
"462",71,27,15000,1,0,"other",2700000,182,77,0
"463",68,22,5000,1,1,"other",1200000,182,78,2200000
"464",70,27,6000,1,1,"other",1800000,177,72,4e+06
"465",63,27,1000,1,0,"other",375000,183,82,0
"466",80,24,58000,1,0,"other",17500000,180,75,34600000
"467",64,26,3000,1,0,"other",550000,190,80,729000
"468",61,20,1000,1,1,"other",450000,175,68,765000
"469",66,25,3000,1,0,"other",750000,179,74,1100000
"470",88,27,220000,3,0,"Top_10",6.2e+07,175,69,114700000
"471",59,28,3000,1,0,"other",140000,183,70,231000
"472",60,23,1000,1,0,"other",3e+05,185,84,585000
"473",53,20,2000,1,1,"other",90000,180,72,0
"474",71,30,2000,1,0,"other",2200000,189,74,3e+06
"475",71,21,14000,1,0,"Top_30",2900000,186,70,4900000
"476",62,24,1000,1,1,"other",4e+05,178,74,670000
"477",62,20,1000,1,0,"other",550000,186,84,1100000
"478",67,33,3000,1,0,"other",450000,189,87,653000
"479",66,25,5000,1,1,"other",850000,180,73,1300000
"480",63,30,1000,1,0,"other",350000,183,70,438000
"481",63,28,4000,1,0,"other",325000,187,75,569000
"482",69,24,4000,1,1,"other",1400000,180,75,2100000
"483",58,22,1000,1,1,"other",180000,180,70,315000
"484",70,26,21000,1,0,"other",2e+06,185,84,3900000
"485",60,28,2000,1,1,"other",180000,183,76,315000
"486",60,20,5000,1,1,"other",450000,170,62,1e+06
"487",69,33,6000,1,1,"other",650000,172,63,975000
"488",83,27,51000,1,0,"other",2.7e+07,177,75,48600000
"489",72,26,1000,1,1,"other",3900000,194,87,8900000
