"","overall_transformed","age_tran","wage_tran","international_reputation","is_sub","Top_Club","value_tran","release_tran"
"32",22438.4087936718,7.9704767893106,9e+06,1,1,"other",3.025e+11,5.52049e+11
"33",20032.7261773365,8.30023899891754,4e+06,1,0,"other",7.84e+10,2.401e+11
"34",28681.2444787277,6.30150451067143,1e+06,1,1,"Top_20",3.6e+13,2.6896e+14
"35",31633.4844321214,7.62784626614106,2.116e+09,1,1,"other",7.225e+13,2.5281e+14
"36",16371.9214995691,7.27079286900546,1e+06,1,0,"other",1.69e+10,4.0804e+10
"37",35834.8028181981,7.80086037616557,1.849e+09,2,0,"other",1.8225e+14,7.1289e+14
"38",17784.6297377822,7.27079286900546,1e+06,1,1,"other",4e+10,1.05625e+11
"39",26806.2026241036,6.89742513781528,1.21e+08,1,1,"other",4.84e+12,2.601e+13
"40",15691.0232102274,6.89742513781528,4e+06,1,1,"other",1.96e+10,4.1209e+10
"41",22438.4087936718,7.27079286900546,9e+06,1,1,"other",4.225e+11,1.21e+12
"42",21618.8176101031,8.30023899891754,9e+06,1,0,"other",1.80625e+11,5.53536e+11
"43",21618.8176101031,8.46070789930705,4e+06,1,1,"other",1.05625e+11,2.38144e+11
"44",24131.2337482305,8.13688012439014,3.6e+07,1,0,"other",5.625e+11,8.79844e+11
"45",21618.8176101031,6.09177543102124,1e+06,1,1,"other",8.55625e+11,7.84e+12
"46",22438.4087936718,6.50540326910651,1e+06,1,1,"other",9.025e+11,5.29e+12
"47",15691.0232102274,7.80086037616557,1e+06,1,1,"other",1e+10,2.4025e+10
"48",17784.6297377822,7.27079286900546,1e+06,1,1,"other",3.24e+10,8.0656e+10
"49",33695.9527419033,8.61842877960116,6.25e+08,1,0,"other",3.025e+13,8.836e+13
"50",24131.2337482305,6.7039137219579,1.6e+07,1,1,"other",1.44e+12,0
"51",28681.2444787277,6.50540326910651,4.41e+08,1,1,"other",2.5e+13,1.0816e+14
"52",20032.7261773365,8.30023899891754,1e+06,1,1,"other",6.25e+10,1.31769e+11
"53",28681.2444787277,7.27079286900546,6.76e+08,2,0,"other",1.225e+13,0
"54",23275.8444024818,6.7039137219579,4.9e+07,1,1,"other",1.96e+12,1.089e+13
"55",27734.48059515,7.62784626614106,1.21e+08,1,0,"other",7.84e+12,1.936e+13
"56",18516.6748683181,6.30150451067143,9e+06,1,1,"other",6.76e+10,2.98116e+11
"57",23275.8444024818,7.27079286900546,3.6e+07,1,1,"other",7.225e+11,3.24e+12
"58",39188.0132051698,7.27079286900546,3.481e+09,1,1,"Top_10",8.41e+14,3.79456e+15
"59",22438.4087936718,7.45123163898525,9e+06,1,1,"other",3.6e+11,8.93025e+11
"60",23275.8444024818,7.08628242288099,1e+08,1,1,"other",9.025e+11,4e+12
"61",21618.8176101031,8.61842877960116,1e+06,1,0,"other",7.84e+10,1.225e+11
"62",25004.6851532663,6.89742513781528,3.6e+07,1,0,"other",1.69e+12,4.41e+12
"63",23275.8444024818,8.7735324353329,9e+06,1,1,"other",9e+10,2.75625e+11
"64",31633.4844321214,7.08628242288099,6.25e+08,2,0,"other",7.225e+13,0
"65",27734.48059515,8.30023899891754,0,1,0,"other",0,0
"66",19266.0021327151,7.27079286900546,4e+06,1,1,"other",9e+10,1.96249e+11
"67",27734.48059515,7.80086037616557,6.76e+08,1,1,"other",6.25e+12,1.936e+13
"68",27734.48059515,8.46070789930705,3.6e+07,1,0,"other",4e+12,6.25e+12
"69",29646.5979860793,8.30023899891754,1.21e+08,1,0,"other",1.521e+13,0
"70",20032.7261773365,7.45123163898525,1e+06,1,0,"other",1.40625e+11,2.85156e+11
"71",38050.8221903919,6.89742513781528,6.76e+08,2,0,"Top_30",5.76e+14,1.25316e+15
"72",23275.8444024818,7.45123163898525,1.6e+07,1,1,"other",6.4e+11,2.56e+12
"73",18516.6748683181,8.30023899891754,9e+06,1,1,"other",2.56e+10,6.5536e+10
"74",45169.5960068532,8.30023899891754,1.69e+10,4,0,"Top_20",1.681e+15,4.58329e+15
"75",16371.9214995691,6.50540326910651,1e+06,1,1,"other",5.29e+10,0
"76",17069.7509423732,6.50540326910651,1e+06,1,1,"other",4.41e+10,1.27449e+11
"77",23275.8444024818,7.62784626614106,4e+06,1,0,"other",4.9e+11,8.61184e+11
"78",24131.2337482305,7.45123163898525,9e+06,1,1,"other",9.50625e+11,1.96e+12
"79",25004.6851532663,7.80086037616557,6.76e+08,1,1,"other",8.55625e+11,3.24e+12
"80",24131.2337482305,7.08628242288099,1e+06,1,0,"other",8.55625e+11,2.56e+12
"81",13134.3330541525,6.50540326910651,1e+06,1,1,"other",6.4e+09,2.4336e+10
"82",20816.9605262596,6.09177543102124,9e+06,1,1,"Top_20",6.80625e+11,4.84e+12
"83",21618.8176101031,7.9704767893106,1e+06,1,0,"other",1.6e+11,2.916e+11
"84",29646.5979860793,7.27079286900546,4.9e+07,1,1,"other",3.025e+13,8.464e+13
"85",25004.6851532663,7.9704767893106,4.9e+07,1,1,"other",8.1e+11,1.69e+12
"86",20032.7261773365,7.08628242288099,1e+06,1,1,"other",1.80625e+11,6.87241e+11
"87",15026.9366242451,6.7039137219579,1e+06,1,1,"other",1.69e+10,5.1984e+10
"88",22438.4087936718,6.89742513781528,3.6e+07,1,1,"other",5.625e+11,1.96e+12
"89",23275.8444024818,7.80086037616557,2.5e+07,1,1,"other",4.55625e+11,1.69e+12
"90",20816.9605262596,7.08628242288099,4e+06,1,1,"other",1.80625e+11,4.19904e+11
"91",23275.8444024818,7.80086037616557,9e+06,1,1,"other",5.25625e+11,9.23521e+11
"92",21618.8176101031,6.50540326910651,1e+06,1,0,"other",1e+12,0
"93",25004.6851532663,6.89742513781528,4.9e+07,1,1,"other",1.96e+12,6.25e+12
"94",21618.8176101031,6.89742513781528,9e+06,1,1,"other",4.9e+11,1.69e+12
"95",26806.2026241036,7.45123163898525,4.9e+07,1,0,"other",4.84e+12,1.681e+13
"96",20032.7261773365,7.27079286900546,1e+06,1,0,"other",1.40625e+11,2.47009e+11
"97",30630.6439676987,7.62784626614106,7.29e+08,1,1,"other",4.225e+13,1.3225e+14
"98",25004.6851532663,6.7039137219579,1.6e+07,1,0,"other",1.96e+12,0
"99",17784.6297377822,7.62784626614106,1e+06,1,0,"other",3.24e+10,8.5849e+10
"100",34755.7805546427,7.80086037616557,2.025e+09,1,1,"Top_30",1.1025e+14,3.4596e+14
"101",25004.6851532663,7.62784626614106,1.6e+07,1,1,"other",1.21e+12,2.89e+12
"102",25896.305974114,7.27079286900546,8.1e+07,1,1,"other",1.69e+12,3.24e+12
"103",14379.5410046167,6.30150451067143,4e+06,1,1,"other",1e+10,3.61e+10
"104",18516.6748683181,6.50540326910651,1e+06,1,1,"other",1.05625e+11,2.54016e+11
"105",15691.0232102274,7.62784626614106,1e+06,1,0,"other",1.21e+10,4.0401e+10
"106",22438.4087936718,6.50540326910651,9e+06,1,1,"other",6.00625e+11,1.96e+12
"107",21618.8176101031,8.61842877960116,1.6e+07,1,1,"other",1.225e+11,2.58064e+11
"108",24131.2337482305,7.27079286900546,9e+06,1,0,"other",1.21e+12,5.76e+12
"109",21618.8176101031,7.80086037616557,4e+06,1,0,"other",2.5e+11,8.33569e+11
"110",22438.4087936718,7.80086037616557,1e+06,1,0,"other",2.75625e+11,5.59504e+11
"111",20032.7261773365,7.08628242288099,1e+06,1,0,"other",1.80625e+11,6.87241e+11
"112",28681.2444787277,8.9261396899676,3.6e+07,1,0,"other",1.44e+12,2.56e+12
"113",27734.48059515,7.62784626614106,1.21e+08,1,0,"other",7.84e+12,1.936e+13
"114",19266.0021327151,7.45123163898525,9e+06,1,1,"other",9e+10,3.42225e+11
"115",17069.7509423732,6.7039137219579,1e+06,1,1,"other",4.84e+10,1.39876e+11
"116",22438.4087936718,7.45123163898525,9e+06,1,0,"other",4.55625e+11,1e+12
"117",28681.2444787277,7.45123163898525,0,1,0,"other",0,0
"118",18516.6748683181,6.30150451067143,2.5e+07,1,1,"other",1.05625e+11,4.66489e+11
"119",25896.305974114,7.80086037616557,2.5e+07,1,1,"other",1.44e+12,0
"120",21618.8176101031,6.7039137219579,4e+06,1,1,"other",6.80625e+11,2.25e+12
"121",22438.4087936718,8.9261396899676,4e+06,1,0,"other",4e+10,1.225e+11
"122",26806.2026241036,7.27079286900546,4.9e+07,1,0,"other",4.41e+12,1.156e+13
"123",27734.48059515,6.89742513781528,6.4e+07,1,1,"other",8.41e+12,2.401e+13
"124",17069.7509423732,6.30150451067143,1e+06,1,1,"other",4.84e+10,2.73529e+11
"125",24131.2337482305,8.13688012439014,9e+06,1,1,"other",5.25625e+11,1.44e+12
"126",15026.9366242451,6.09177543102124,1e+06,1,0,"other",2.25e+10,7.8961e+10
"127",21618.8176101031,6.50540326910651,1e+06,1,1,"other",5.625e+11,2.89e+12
"128",25896.305974114,8.46070789930705,3.6e+07,1,1,"other",5.625e+11,1.96e+12
"129",22438.4087936718,7.08628242288099,9e+06,1,1,"other",5.625e+11,1.44e+12
"130",20032.7261773365,9.07636242422116,1e+06,1,1,"other",1.96e+10,6.0025e+10
"131",24131.2337482305,8.61842877960116,1e+06,1,0,"other",2.5e+11,4.55625e+11
"132",22438.4087936718,7.08628242288099,1e+06,1,1,"other",5.625e+11,1.69e+12
"133",20816.9605262596,7.08628242288099,9e+06,1,1,"other",2.25625e+11,8.57476e+11
"134",14379.5410046167,6.09177543102124,1e+06,1,1,"other",1.96e+10,7.29e+10
"135",32655.2205640584,8.7735324353329,2.89e+08,1,0,"other",2.209e+13,5.329e+13
"136",21618.8176101031,7.08628242288099,4e+06,1,1,"other",2.75625e+11,7.27609e+11
"137",26806.2026241036,7.80086037616557,6.4e+07,1,1,"other",3.24e+12,1.444e+13
"138",30630.6439676987,9.07636242422116,2.25e+08,1,1,"other",3.24e+12,1.156e+13
"139",15691.0232102274,6.30150451067143,1e+06,1,1,"other",3.24e+10,1.83184e+11
"140",20032.7261773365,7.62784626614106,1e+06,1,1,"other",1.225e+11,2.85156e+11
"141",27734.48059515,8.61842877960116,2.89e+08,1,0,"other",2.25e+12,8.41e+12
"142",21618.8176101031,7.27079286900546,4e+06,1,1,"other",3.025e+11,7.03921e+11
"143",34755.7805546427,6.89742513781528,5.76e+08,2,0,"other",1.69e+14,6.1009e+14
"144",20032.7261773365,6.7039137219579,1e+06,1,1,"other",2.75625e+11,8.93025e+11
"145",25004.6851532663,6.7039137219579,1e+06,1,1,"other",2.56e+12,5.76e+12
"146",15691.0232102274,6.50540326910651,1e+06,1,0,"other",1.96e+10,6.0025e+10
"147",14379.5410046167,6.89742513781528,4e+06,1,1,"other",8.1e+09,2.2201e+10
"148",26806.2026241036,7.9704767893106,5.29e+08,1,1,"other",2.25e+12,9e+12
"149",15691.0232102274,6.89742513781528,4e+06,1,1,"other",1.69e+10,5.1984e+10
"150",25004.6851532663,7.45123163898525,9e+06,1,0,"other",9.50625e+11,1.69e+12
"151",22438.4087936718,6.7039137219579,9e+06,1,1,"other",9.50625e+11,4e+12
"152",24131.2337482305,6.89742513781528,3.61e+08,1,1,"other",1e+12,4.84e+12
"153",22438.4087936718,6.89742513781528,4e+06,1,0,"other",5.625e+11,1.44e+12
"154",26806.2026241036,7.80086037616557,4e+06,1,1,"other",3.24e+12,6.76e+12
"155",17784.6297377822,7.80086037616557,1e+06,1,1,"other",3.24e+10,1.08241e+11
"156",19266.0021327151,6.89742513781528,1e+06,1,1,"other",1.80625e+11,4.34281e+11
"157",17069.7509423732,5.87571073418712,1e+06,1,1,"other",6.25e+10,4.225e+11
"158",40344.786512142,7.27079286900546,1.44e+10,2,0,"Top_10",1.089e+15,3.23761e+15
"159",25004.6851532663,8.13688012439014,4.9e+07,1,1,"other",5.625e+11,1.44e+12
"160",22438.4087936718,7.80086037616557,2.5e+07,1,0,"other",3.30625e+11,6.95556e+11
"161",23275.8444024818,7.08628242288099,4e+06,1,1,"other",7.65625e+11,2.56e+12
"162",25004.6851532663,8.30023899891754,4e+06,1,0,"other",7.65625e+11,1.96e+12
"163",30630.6439676987,8.46070789930705,4e+08,1,0,"other",1.764e+13,7.056e+13
"164",13748.7142897823,6.09177543102124,1e+06,1,1,"other",1.21e+10,4.7089e+10
"165",17069.7509423732,6.50540326910651,1e+06,1,1,"other",3.61e+10,1.37641e+11
"166",21618.8176101031,7.62784626614106,4e+06,1,0,"other",2.75625e+11,0
"167",33695.9527419033,8.30023899891754,5.041e+09,3,1,"other",7.225e+13,2.6244e+14
"168",23275.8444024818,7.62784626614106,9e+06,1,1,"other",4.55625e+11,9.92016e+11
"169",20032.7261773365,6.50540326910651,9e+06,1,1,"other",2.75625e+11,7.056e+11
"170",24131.2337482305,7.45123163898525,4e+06,1,1,"other",7.225e+11,1.21e+12
"171",20816.9605262596,5.87571073418712,1e+06,1,1,"other",5.25625e+11,2.25e+12
"172",24131.2337482305,7.9704767893106,4e+06,1,0,"other",4.55625e+11,9.58441e+11
"173",23275.8444024818,6.50540326910651,2.5e+07,1,1,"other",1.44e+12,4e+12
"174",30630.6439676987,7.08628242288099,1.849e+09,1,0,"other",6.4e+13,2.8224e+14
"175",23275.8444024818,6.7039137219579,4.9e+07,1,1,"other",7.225e+11,2.89e+12
"176",25896.305974114,7.27079286900546,1.6e+07,1,1,"other",1.69e+12,4e+12
"177",25896.305974114,8.13688012439014,4.9e+07,1,1,"other",7.65625e+11,1.69e+12
"178",27734.48059515,8.30023899891754,1.44e+08,2,1,"Top_30",4.84e+12,9.61e+12
"179",18516.6748683181,7.62784626614106,4e+06,1,1,"other",5.76e+10,1.33956e+11
"180",33695.9527419033,7.45123163898525,1.089e+09,2,1,"other",1.21e+14,3.8025e+14
"181",25004.6851532663,6.89742513781528,2.5e+07,1,0,"other",1.44e+12,0
"182",15691.0232102274,6.50540326910651,1e+06,1,1,"other",1.96e+10,4.1209e+10
"183",33695.9527419033,7.45123163898525,9e+08,1,1,"other",1.21e+14,4.2436e+14
"184",27734.48059515,7.80086037616557,1.21e+08,1,0,"other",4.41e+12,1.764e+13
"185",21618.8176101031,7.80086037616557,4e+06,1,1,"other",2.025e+11,3.83161e+11
"186",22438.4087936718,8.13688012439014,4e+06,1,0,"other",2.025e+11,4.26409e+11
"187",31633.4844321214,7.08628242288099,1.521e+09,1,0,"other",5.625e+13,1.7689e+14
"188",26806.2026241036,7.80086037616557,4.9e+07,1,0,"other",4.41e+12,1.225e+13
"189",15026.9366242451,6.89742513781528,1e+06,1,1,"other",1.21e+10,2.9241e+10
"190",24131.2337482305,8.30023899891754,1.6e+07,1,1,"other",4.9e+11,8.93025e+11
"191",20032.7261773365,7.08628242288099,9e+06,1,1,"other",1.80625e+11,5.22729e+11
"192",17784.6297377822,7.62784626614106,1e+06,1,1,"other",2.89e+10,5.8564e+10
"193",21618.8176101031,7.27079286900546,9e+06,1,0,"other",3.6e+11,9.801e+11
"194",21618.8176101031,7.45123163898525,1e+06,1,1,"other",2.75625e+11,7.72641e+11
"195",21618.8176101031,5.87571073418712,1.6e+07,1,1,"Top_20",1e+12,8.41e+12
"196",26806.2026241036,8.61842877960116,2.5e+07,2,1,"other",1.21e+12,2.89e+12
"197",14379.5410046167,6.50540326910651,1e+06,1,1,"other",1.21e+10,0
"198",17784.6297377822,6.30150451067143,1e+06,1,1,"other",1.05625e+11,5.71536e+11
"199",25004.6851532663,8.61842877960116,9e+06,1,0,"other",3.30625e+11,1e+12
"200",12536.2724666846,6.7039137219579,4e+06,1,1,"other",3.6e+09,1.1025e+10
"201",21618.8176101031,6.09177543102124,1e+06,1,0,"other",8.55625e+11,2.89e+12
"202",23275.8444024818,7.80086037616557,4e+06,1,1,"other",4.55625e+11,7.99236e+11
"203",24131.2337482305,7.45123163898525,6.4e+07,1,0,"other",9.025e+11,4e+12
"204",29646.5979860793,7.45123163898525,1.96e+08,1,1,"other",2.304e+13,0
"205",20816.9605262596,6.50540326910651,4.9e+07,1,1,"other",4.225e+11,1.96e+12
"206",20816.9605262596,7.08628242288099,8.1e+07,1,1,"other",2.5e+11,1.21e+12
"207",15691.0232102274,6.7039137219579,1e+06,1,1,"other",1.44e+10,3.4596e+10
"208",40344.786512142,7.9704767893106,5.929e+09,2,0,"Top_30",6.5025e+14,1.88356e+15
"209",17784.6297377822,6.89742513781528,1e+06,1,1,"other",3.24e+10,1.08241e+11
"210",20816.9605262596,7.45123163898525,3.6e+07,1,1,"other",2.025e+11,6.38401e+11
"211",28681.2444787277,7.27079286900546,1.69e+08,1,1,"other",1.369e+13,6.561e+13
"212",19266.0021327151,8.30023899891754,0,1,0,"other",0,0
"213",25004.6851532663,8.30023899891754,1.6e+07,1,0,"other",5.25625e+11,1.44e+12
"214",21618.8176101031,7.27079286900546,4e+06,1,1,"other",3.90625e+11,1.21e+12
"215",26806.2026241036,7.45123163898525,1e+06,1,0,"other",4.84e+12,2.5e+13
"216",20816.9605262596,6.30150451067143,9e+06,1,1,"other",6.00625e+11,3.24e+12
"217",30630.6439676987,7.80086037616557,7.29e+08,2,0,"other",4.225e+13,1.6384e+14
"218",17784.6297377822,5.87571073418712,1e+06,1,1,"other",9e+10,6.20944e+11
"219",16371.9214995691,8.13688012439014,4e+06,1,1,"other",8.1e+09,1.96e+10
"220",20032.7261773365,6.89742513781528,1e+06,1,1,"other",1.80625e+11,4.91401e+11
"221",28681.2444787277,8.61842877960116,2.89e+08,2,0,"other",5.76e+12,1.764e+13
"222",22438.4087936718,7.27079286900546,1e+06,1,0,"other",4.9e+11,1.21e+12
"223",16371.9214995691,7.27079286900546,1e+06,1,1,"other",1.44e+10,4.0401e+10
"224",27734.48059515,7.9704767893106,3.24e+08,1,0,"other",5.76e+12,1.681e+13
"225",19266.0021327151,7.45123163898525,1e+06,1,0,"other",1.05625e+11,2.14369e+11
"226",21618.8176101031,7.9704767893106,4e+06,1,1,"other",2.025e+11,6.20944e+11
"227",24131.2337482305,7.80086037616557,1.6e+07,1,1,"other",6.00625e+11,1.96e+12
"228",20816.9605262596,7.80086037616557,4.9e+07,1,1,"other",1.6e+11,4.624e+11
"229",29646.5979860793,8.30023899891754,2.25e+08,1,0,"other",1.444e+13,3.025e+13
"230",27734.48059515,7.08628242288099,2.89e+08,1,1,"Top_30",7.84e+12,1.936e+13
"231",34755.7805546427,7.45123163898525,6.25e+08,2,0,"other",1.69e+14,8.0089e+14
"232",22438.4087936718,7.9704767893106,1e+06,1,0,"other",2.75625e+11,5.59504e+11
"233",19266.0021327151,6.89742513781528,9e+06,1,1,"other",1.225e+11,3.34084e+11
"234",25896.305974114,7.27079286900546,2.25e+08,1,0,"other",1.96e+12,6.25e+12
"235",21618.8176101031,6.30150451067143,1e+06,1,1,"other",9.50625e+11,7.84e+12
"236",28681.2444787277,8.7735324353329,1.69e+08,1,0,"other",2.25e+12,5.76e+12
"237",28681.2444787277,7.08628242288099,4e+08,1,1,"other",1.936e+13,1.1236e+14
"238",21618.8176101031,8.13688012439014,1e+06,1,1,"other",1.80625e+11,3.16969e+11
"239",20816.9605262596,6.89742513781528,4e+06,1,1,"other",3.30625e+11,1e+12
"240",23275.8444024818,8.30023899891754,9e+06,1,0,"other",2.5e+11,5.25625e+11
"241",27734.48059515,8.7735324353329,1.44e+08,1,1,"other",1.96e+12,4.41e+12
"242",16371.9214995691,6.09177543102124,1e+06,1,1,"other",4.41e+10,2.49001e+11
"243",22438.4087936718,8.46070789930705,4e+06,1,1,"other",1.6e+11,3.6e+11
"244",17069.7509423732,6.50540326910651,4e+06,1,1,"other",6.76e+10,3.98161e+11
"245",17784.6297377822,8.46070789930705,9e+06,1,1,"other",1.96e+10,4.7089e+10
"246",16371.9214995691,6.30150451067143,1e+06,1,1,"other",2.25e+10,5.76e+10
"247",36933.1175912247,8.13688012439014,9.61e+08,1,1,"other",2.1025e+14,9.3025e+14
"248",17069.7509423732,7.08628242288099,1e+06,1,1,"other",2.89e+10,8.8804e+10
"249",25004.6851532663,6.89742513781528,2.56e+08,1,1,"other",1.96e+12,7.29e+12
"250",32655.2205640584,6.50540326910651,1e+08,1,1,"Top_20",1.44e+14,6.9696e+14
"251",30630.6439676987,7.62784626614106,7.29e+08,1,1,"other",4.225e+13,1.6384e+14
"252",30630.6439676987,7.9704767893106,1e+06,1,1,"Top_20",2.304e+13,1.0201e+14
"253",20816.9605262596,6.30150451067143,2.5e+07,1,1,"other",6.4e+11,4.84e+12
"254",21618.8176101031,6.30150451067143,9e+06,1,1,"other",6.00625e+11,1.69e+12
"255",17069.7509423732,6.7039137219579,1e+06,1,1,"other",4e+10,9.61e+10
"256",24131.2337482305,8.13688012439014,4e+06,1,0,"other",4.225e+11,6.60969e+11
"257",20816.9605262596,7.45123163898525,4e+06,1,0,"other",1.80625e+11,3.16969e+11
"258",23275.8444024818,8.7735324353329,3.6e+07,1,0,"other",1.40625e+11,4.30336e+11
"259",20816.9605262596,7.45123163898525,1e+06,1,1,"other",2.025e+11,3.55216e+11
"260",19266.0021327151,8.30023899891754,9e+06,1,1,"other",5.76e+10,1.38384e+11
"261",33695.9527419033,8.30023899891754,1.156e+09,1,0,"other",7.225e+13,2.1025e+14
"262",26806.2026241036,8.7735324353329,4e+06,1,0,"other",7.225e+11,1.44e+12
"263",25896.305974114,7.62784626614106,2.5e+07,1,1,"other",1.44e+12,3.24e+12
"264",25004.6851532663,7.80086037616557,1.6e+07,1,0,"other",9.50625e+11,3.24e+12
"265",32655.2205640584,8.46070789930705,1.024e+09,2,0,"other",4.9e+13,2.3716e+14
"266",40344.786512142,8.61842877960116,1.1025e+10,4,0,"Top_20",2.7225e+14,9.8596e+14
"267",24131.2337482305,8.30023899891754,9e+06,1,0,"other",3.90625e+11,7.12336e+11
"268",36933.1175912247,7.80086037616557,6.561e+09,1,0,"other",3.0625e+14,1.19716e+15
"269",26806.2026241036,7.80086037616557,8.1e+07,1,1,"other",4.41e+12,1.521e+13
"270",21618.8176101031,9.07636242422116,4e+06,1,1,"other",1.69e+10,2.8561e+10
"271",32655.2205640584,8.30023899891754,1.936e+09,1,0,"other",4.9e+13,1.7689e+14
"272",15026.9366242451,6.50540326910651,1e+06,1,1,"other",1.96e+10,5.3361e+10
"273",17069.7509423732,6.7039137219579,1e+06,1,1,"other",2.89e+10,6.1009e+10
"274",17784.6297377822,7.45123163898525,9e+06,1,1,"other",3.61e+10,1.01124e+11
"275",26806.2026241036,8.13688012439014,6.4e+07,1,0,"other",2.89e+12,8.41e+12
"276",22438.4087936718,8.13688012439014,4e+06,1,1,"other",2.75625e+11,4.30336e+11
"277",35834.8028181981,7.9704767893106,6.4e+09,1,0,"other",1.5625e+14,6.1009e+14
"278",22438.4087936718,6.50540326910651,9e+06,1,1,"other",1.44e+12,7.84e+12
"279",22438.4087936718,7.80086037616557,1e+06,1,0,"other",3.30625e+11,6.70761e+11
"280",16371.9214995691,6.30150451067143,4e+06,1,1,"other",4.84e+10,2.62144e+11
"281",27734.48059515,7.27079286900546,2.5e+07,1,0,"other",1.024e+13,2.5e+13
"282",22438.4087936718,7.62784626614106,1e+06,1,1,"other",3.6e+11,9.50625e+11
"283",27734.48059515,7.9704767893106,8.1e+07,1,0,"other",5.76e+12,1.156e+13
"284",16371.9214995691,6.30150451067143,4e+06,1,1,"other",2.56e+10,9.7344e+10
"285",28681.2444787277,7.9704767893106,1e+06,1,0,"other",7.29e+12,3.481e+13
"286",20816.9605262596,6.50540326910651,4e+06,1,1,"other",3.6e+11,1.21e+12
"287",28681.2444787277,7.27079286900546,6.4e+07,1,0,"other",1.681e+13,4.096e+13
"288",25004.6851532663,8.46070789930705,4e+06,1,0,"other",4.225e+11,6.60969e+11
"289",26806.2026241036,7.62784626614106,4.9e+07,1,0,"other",4.41e+12,1.296e+13
"290",23275.8444024818,7.62784626614106,4e+06,1,0,"other",6.00625e+11,1.96e+12
"291",39188.0132051698,8.46070789930705,1.521e+09,2,0,"other",4e+14,1.764e+15
"292",26806.2026241036,6.7039137219579,1.6e+07,1,0,"other",9e+12,0
"293",11954.4062473755,6.30150451067143,1e+06,1,1,"other",3.6e+09,1.4161e+10
"294",25004.6851532663,7.9704767893106,8.1e+07,1,1,"other",8.1e+11,0
"295",25004.6851532663,7.62784626614106,4.9e+07,1,0,"other",1.21e+12,3.24e+12
"296",28681.2444787277,7.62784626614106,1.296e+09,2,1,"Top_30",1.156e+13,4.624e+13
"297",30630.6439676987,8.46070789930705,2.89e+08,1,0,"other",2.5e+13,6.4e+13
"298",35834.8028181981,8.7735324353329,2.809e+09,2,1,"other",5.625e+13,1.6384e+14
"299",31633.4844321214,7.80086037616557,1.089e+09,1,0,"other",4.9e+13,1.7689e+14
"300",15691.0232102274,6.30150451067143,1e+06,1,1,"other",3.61e+10,1.55236e+11
"301",23275.8444024818,7.62784626614106,9e+06,1,1,"other",6.4e+11,2.25e+12
